depth_mm,age_calBP,d18OcarbVPDB
476.520,3249.87,-9.83
476.550,3250.12,-9.65
476.580,3250.37,-9.70
476.610,3250.62,-9.74
476.640,3250.87,-9.93
476.670,3251.12,-9.79
476.700,3251.37,-9.75
476.730,3251.62,-9.82
476.760,3251.87,-9.89
476.790,3252.12,-9.85
476.820,3252.37,-10.01
476.850,3252.62,-9.72
476.880,3252.87,-9.83
476.910,3253.12,-9.87
476.940,3253.37,-9.79
476.970,3253.62,-9.82
477.000,3253.87,-9.88
477.030,3254.12,-9.85
477.060,3254.37,-9.87
477.090,3254.62,-9.87
477.120,3254.87,-9.73
477.150,3255.12,-9.73
477.180,3255.37,-9.83
477.210,3255.62,-9.94
477.240,3255.87,-9.88
477.270,3256.12,-10.06
477.300,3256.37,-9.84
477.330,3256.62,-9.91
477.360,3256.87,-9.94
477.390,3257.12,-9.81
477.420,3257.37,-9.82
477.450,3257.62,-9.81
477.480,3257.87,-9.88
477.510,3258.12,-9.89
477.540,3258.37,-9.93
477.570,3258.62,-10.00
477.600,3258.87,-9.89
477.630,3259.12,-9.97
477.660,3259.37,-9.87
477.690,3259.62,-9.76
477.720,3259.87,-9.78
477.750,3260.12,-9.90
477.780,3260.37,-9.98
477.810,3260.62,-9.99
477.840,3260.87,-9.82
477.870,3261.12,-9.79
477.900,3261.37,-9.86
477.930,3261.62,-9.77
477.960,3261.87,-9.89
477.990,3262.12,-9.79
478.020,3262.37,-9.86
478.050,3262.62,-9.83
478.080,3262.87,-9.86
478.110,3263.12,-9.89
478.140,3263.37,-9.77
478.170,3263.62,-9.68
478.200,3263.87,-9.88
478.230,3264.12,-9.76
478.260,3264.37,-9.93
478.290,3264.62,-9.86
478.320,3264.87,-9.74
478.350,3265.12,-9.76
478.380,3265.37,-9.90
478.410,3265.62,-9.86
478.440,3265.87,-9.90
478.470,3266.12,-9.94
478.500,3266.37,-9.89
478.530,3266.62,-9.91
478.560,3266.87,-9.78
478.590,3267.12,-9.88
478.620,3267.37,-9.88
478.650,3267.62,-9.93
478.680,3267.87,-9.97
478.710,3268.12,-9.90
478.740,3268.37,-9.91
478.770,3268.62,-9.87
478.800,3268.87,-9.87
478.830,3269.12,-9.95
478.860,3269.37,-9.72
478.890,3269.62,-9.68
